group,label,weight_archive,n,rmse,mae
year,2015,0.0400000000,276,0.1095986862,0.0494550340
year,2015,0.0600000000,276,0.1095793863,0.0494306171
year,2015,0.0800000000,276,0.1095618499,0.0494076957
year,2015,0.1000000000,276,0.1095460778,0.0493864850
year,2015,0.1200000000,276,0.1095320707,0.0493703579
year,2015,0.1400000000,276,0.1095198294,0.0493585445
year,2015,0.1600000000,276,0.1095093543,0.0493469991
year,2015,0.1800000000,276,0.1095006461,0.0493354538
year,2015,0.2000000000,276,0.1094937051,0.0493240842
year,2015,0.2200000000,276,0.1094885317,0.0493154124
year,2015,0.2400000000,276,0.1094851262,0.0493076365
year,2015,0.2600000000,276,0.1094834886,0.0492998606
year,2015,0.2800000000,276,0.1094836191,0.0492920847
year,2015,0.3000000000,276,0.1094855177,0.0492878534
year,2015,0.3200000000,276,0.1094891842,0.0492844401
year,2015,0.3400000000,276,0.1094946186,0.0492814289
year,2015,0.3600000000,276,0.1095018204,0.0492829995
year,2015,0.3800000000,276,0.1095107895,0.0492888983
year,2015,0.4000000000,276,0.1095215253,0.0493029629
year,2015,0.4200000000,276,0.1095340274,0.0493190646
year,2015,0.4400000000,276,0.1095482951,0.0493363788
year,2015,0.4600000000,276,0.1095643277,0.0493548017
year,2015,0.4800000000,276,0.1095821245,0.0493777922
year,2015,0.5000000000,276,0.1096016846,0.0494013594
year,2016,0.0000000000,264,0.0894050474,0.0525877870
year,2016,0.0200000000,264,0.0893933816,0.0525854677
year,2016,0.0400000000,264,0.0893835533,0.0525831484
year,2016,0.0600000000,264,0.0893755633,0.0525808291
year,2016,0.0800000000,264,0.0893694119,0.0525785098
year,2016,0.1000000000,264,0.0893650996,0.0525761906
year,2016,0.1200000000,264,0.0893626266,0.0525749978
year,2016,0.1400000000,264,0.0893619931,0.0525772949
year,2016,0.1600000000,264,0.0893631991,0.0525795920
year,2016,0.1800000000,264,0.0893662446,0.0525818892
year,2016,0.2000000000,264,0.0893711293,0.0525841863
year,2016,0.2200000000,264,0.0893778530,0.0525864835
year,2016,0.2400000000,264,0.0893864153,0.0525887806
year,2016,0.2600000000,264,0.0893968155,0.0525913864
year,2016,0.2800000000,264,0.0894090531,0.0525978764
year,2016,0.3000000000,264,0.0894231274,0.0526043664
year,2016,0.3200000000,264,0.0894390374,0.0526127566
year,2016,0.3400000000,264,0.0894567821,0.0526229206
year,2016,0.3600000000,264,0.0894763606,0.0526342347
year,2016,0.3800000000,264,0.0894977715,0.0526455489
year,2016,0.4000000000,264,0.0895210136,0.0526568630
year,2016,0.4200000000,264,0.0895460854,0.0526700493
year,2016,0.4400000000,264,0.0895729854,0.0526892504
year,2016,0.4600000000,264,0.0896017120,0.0527098666
year,2016,0.4800000000,264,0.0896322634,0.0527304828
year,2016,0.5000000000,264,0.0896646377,0.0527510990
year,2017,0.0000000000,420,0.0542059289,0.0380499719
year,2017,0.0200000000,420,0.0542325888,0.0380818803
year,2017,0.0400000000,420,0.0542617018,0.0381137888
year,2017,0.0600000000,420,0.0542932639,0.0381456973
year,2017,0.0800000000,420,0.0543272709,0.0381776057
year,2017,0.1000000000,420,0.0543637181,0.0382115486
year,2017,0.1200000000,420,0.0544026007,0.0382489134
year,2017,0.1400000000,420,0.0544439135,0.0382937138
year,2017,0.1600000000,420,0.0544876508,0.0383442781
year,2017,0.1800000000,420,0.0545338070,0.0383964611
year,2017,0.2000000000,420,0.0545823758,0.0384522221
year,2017,0.2200000000,420,0.0546333508,0.0385111083
year,2017,0.2400000000,420,0.0546867253,0.0385731371
year,2017,0.2600000000,420,0.0547424923,0.0386353409
year,2017,0.2800000000,420,0.0548006444,0.0387026575
year,2017,0.3000000000,420,0.0548611742,0.0387706035
year,2017,0.3200000000,420,0.0549240736,0.0388406690
year,2017,0.3400000000,420,0.0549893346,0.0389107346
year,2017,0.3600000000,420,0.0550569488,0.0389817942
year,2017,0.3800000000,420,0.0551269076,0.0390582424
year,2017,0.4000000000,420,0.0551992019,0.0391399807
year,2017,0.4200000000,420,0.0552738227,0.0392217191
year,2017,0.4400000000,420,0.0553507606,0.0393034574
year,2017,0.4600000000,420,0.0554300058,0.0393851958
year,2017,0.4800000000,420,0.0555115486,0.0394669341
