seed,radius,crop,method,pred,n,rmse,coverage
0,16,1,median,blend0.2,2644,0.07951808479818442,0.995839636913767
0,16,1,median,blend0.3,2644,0.08852498480232678,0.995839636913767
0,16,1,median,blend0.4,2644,0.09974593250368677,0.995839636913767
0,16,1,mean,mix,2644,0.17453091110794605,0.995839636913767
0,16,1,mean,blend0.01,2644,0.07138719943170357,0.995839636913767
0,16,1,mean,blend0.02,2644,0.07144408216793822,0.995839636913767
0,16,1,mean,blend0.03,2644,0.0715366929711739,0.995839636913767
0,16,1,mean,blend0.05,2644,0.07182849268267155,0.995839636913767
0,16,1,mean,blend0.08,2644,0.07252903017516865,0.995839636913767
0,16,1,mean,blend0.1,2644,0.07316736595722957,0.995839636913767
0,16,1,mean,blend0.15,2644,0.0753360324085613,0.995839636913767
0,16,1,mean,blend0.2,2644,0.0782655439826398,0.995839636913767
0,16,1,mean,blend0.3,2644,0.08607682812603079,0.995839636913767
0,16,1,mean,blend0.4,2644,0.09594080642322282,0.995839636913767
0,16,1,mean,hard,2644,0.17575216721033932,0.995839636913767
0,16,1,mean,blend0.01,2644,0.07138899228066754,0.995839636913767
0,16,1,mean,blend0.02,2644,0.07144823104610003,0.995839636913767
0,16,1,mean,blend0.03,2644,0.0715437561300997,0.995839636913767
0,16,1,mean,blend0.05,2644,0.07184303130319296,0.995839636913767
0,16,1,mean,blend0.08,2644,0.07255875523610972,0.995839636913767
0,16,1,mean,blend0.1,2644,0.0732097211798277,0.995839636913767
0,16,1,mean,blend0.15,2644,0.07541784221316451,0.995839636913767
0,16,1,mean,blend0.2,2644,0.07839632704034394,0.995839636913767
0,16,1,mean,blend0.3,2644,0.08632547129014402,0.995839636913767
0,16,1,mean,blend0.4,2644,0.09632222991280291,0.995839636913767
