radius,method,policy,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
1,median,override6035,route_plus_direct_0.01,0.06677113726987904,0.06307556640544286,0.07038078031023427
1,mean,override6035,bucket_0.01_0.01,0.06677113726987904,0.06307556640544286,0.07038078031023427
4,mean,override6035,bucket_0.005_0,0.0667712905754474,0.06303304118875483,0.07038614838357528
2,median,dist502,bucket_0.005_0.01,0.06677135990310051,0.06297426306332485,0.07038897934421957
4,mean,dist502,bucket_0_0.01,0.06677136344326627,0.06297318380180401,0.07037878873524837
4,median,override6035,bucket_0.01_0.03,0.06677162301448257,0.0630665044306536,0.07033659540964964
2,mean,dist503,bucket_0_0.01,0.06677195118032835,0.06297294372308503,0.07039715542575191
2,median,dist502,bucket_0.005_0.03,0.06677196886321375,0.06298097717090545,0.07040033053017986
2,median,override6035,bucket_0.005_0,0.0667720346470165,0.06302994251146421,0.0703836315565537
2,mean,override6035,bucket_0.005_0,0.06677218170787508,0.06302910426456422,0.07038257916263697
4,median,dist502,bucket_0_0.01,0.06677239732118843,0.06297641962363872,0.07037705868071235
4,median,override6035,bucket_0.005_0,0.06677266316058676,0.06304037958989539,0.07038855188122776
8,mean,override6035,bucket_0_0.03,0.06677268800670465,0.06304963017907184,0.07037409683165467
4,mean,override6035,route_plus_direct_0.015,0.06677273121841332,0.06304915753328119,0.0703615503924451
4,median,dist502,bucket_0.005_0.02,0.0667727735522996,0.0629949567864198,0.07035781088913909
8,mean,override5525,bucket_0_0.02,0.0667730708353654,0.06304191335284846,0.07037132016579091
2,median,override6035,route_plus_direct_0.015,0.06677317915162856,0.06303475603668682,0.07038034303627841
16,mean,override6035,bucket_0.005_0.01,0.06677325688316069,0.06303513057768273,0.07038696230178827
2,median,override5525,route_plus_direct_0.005,0.06677331029881094,0.06303087217630858,0.07037828282633826
2,median,override5525,bucket_0.005_0.005,0.06677331029881094,0.06303087217630858,0.07037828282633826
2,mean,dist502,bucket_0.005_0.01,0.06677332216167645,0.06297471872600056,0.07039077134685126
4,median,override6035,bucket_0.01_0.005,0.06677338947731068,0.06305462765093829,0.07037938563838778
4,mean,dist503,bucket_0_0.03,0.06677373950303253,0.06298306516772967,0.07035375535715034
16,median,override6035,route_plus_direct_-0.01,0.06677377115549153,0.06302716123385199,0.07039684962749082
2,mean,dist503,bucket_0_0.03,0.06677395956639116,0.06297866002810266,0.07041326308971901
16,mean,override6035,route_plus_direct_0.005,0.06677417281717953,0.06303379453879324,0.07039028177516624
16,mean,override6035,bucket_0.005_0.005,0.06677417281717953,0.06303379453879324,0.07039028177516624
2,mean,override5525,bucket_0.005_0.005,0.06677440176647713,0.06303071372093055,0.07037854753719201
2,mean,override5525,route_plus_direct_0.005,0.06677440176647713,0.06303071372093055,0.07037854753719201
2,mean,override6035,route_plus_direct_0.015,0.06677442979006798,0.06303212460421216,0.0703795579232236
8,median,override5525,bucket_0_0.01,0.06677465814231161,0.06303662313894601,0.0703765333993009
